SEASON_ID,TEAM_ABBREVIATION,PTS
2024-25,NOP,111
2024-25,MIL,103
2024-25,BKN,100
2024-25,ATL,148
2024-25,DEN,132
2024-25,PHI,96
2024-25,CHI,110
2024-25,LAL,119
2024-25,CLE,131
2024-25,MEM,114
2024-25,DAL,111
2024-25,MIA,101
2024-25,POR,121
2024-25,LAC,128
2024-25,ORL,102
2024-25,PHX,111
2024-25,CHA,86
2024-25,OKC,115
2024-25,GSW,107
2024-25,HOU,119
2024-25,SAS,103
2024-25,IND,134
2024-25,UTA,131
2024-25,WAS,130
2024-25,DET,128
2024-25,BOS,116
2024-25,PHI,103
2024-25,TOR,106
2024-25,DET,132
2024-25,IND,115
2024-25,CHI,92
2024-25,PHX,112
2024-25,MEM,119
2024-25,NYK,128
2024-25,CHA,89
2024-25,ATL,112
2024-25,LAL,132
2024-25,POR,117
2024-25,MIA,85
2024-25,NOP,101
2024-25,BKN,97
2024-25,ORL,106
2024-25,MIL,111
2024-25,WAS,121
2024-25,OKC,137
2024-25,CLE,128
2024-25,MIN,107
2024-25,BOS,103
2024-25,GSW,125
2024-25,SAS,131
2024-25,DEN,146
2024-25,UTA,113
2024-25,DAL,128
2024-25,SAC,129
2024-25,PHI,127
2024-25,HOU,94
2024-25,DET,112
2024-25,MIL,135
2024-25,CHA,102
2024-25,TOR,87
2024-25,WAS,111
2024-25,OKC,125
2024-25,IND,117
2024-25,NYK,104
2024-25,MEM,112
2024-25,LAL,124
2024-25,NOP,118
2024-25,LAC,130
2024-25,CHI,111
2024-25,SAS,111
2024-25,DEN,122
2024-25,SAC,123
2024-25,GSW,132
2024-25,BOS,131
2024-25,PHX,105
2024-25,DAL,116
2024-25,ORL,112
2024-25,POR,98
2024-25,UTA,110
2024-25,MIN,114
2024-25,ATL,125
2024-25,HOU,105
2024-25,DET,125
2024-25,MIL,110
2024-25,ATL,115
2024-25,SAS,116
2024-25,CLE,134
2024-25,OKC,121
2024-25,TOR,109
2024-25,UTA,127
2024-25,BKN,102
2024-25,PHI,112
2024-25,WAS,124
2024-25,PHX,135
2024-25,MIA,86
2024-25,CHA,117
2024-25,LAL,120
2024-25,DEN,112
2024-25,SAC,102
2024-25,BOS,120
2024-25,POR,108
2024-25,HOU,114
2024-25,GSW,112
2024-25,ORL,90
2024-25,IND,119
2024-25,LAC,112
2024-25,DAL,127
2024-25,MIN,127
2024-25,ATL,125
2024-25,MIA,108
2024-25,SAC,111
2024-25,DEN,144
2024-25,CHI,108
2024-25,MIL,112
2024-25,OKC,140
2024-25,UTA,131
2024-25,ORL,130
2024-25,CHA,102
2024-25,SAS,126
2024-25,DET,115
2024-25,WAS,119
2024-25,MEM,138
2024-25,BKN,102
2024-25,CLE,118
2024-25,NOP,119
2024-25,PHI,101
2024-25,GSW,128
2024-25,TOR,107
2024-25,PHX,109
2024-25,MIN,127
2024-25,PHI,118
2024-25,HOU,97
2024-25,BOS,112
2024-25,MIA,124
2024-25,CLE,105
2024-25,TOR,115
2024-25,DAL,116
2024-25,POR,112
2024-25,LAC,97
2024-25,NYK,121
2024-25,IND,89
2024-25,LAL,122
2024-25,BKN,99
2024-25,CHI,133
2024-25,SAC,116
2024-25,ATL,132
2024-25,CHA,114
2024-25,WAS,124
2024-25,DET,130
2024-25,NOP,113
2024-25,HOU,118
2024-25,SAS,109
2024-25,MEM,128
2024-25,GSW,104
2024-25,UTA,111
2024-25,DEN,125
2024-25,OKC,125
2024-25,POR,121
2024-25,NYK,124
2024-25,MIN,114
2024-25,ORL,99
2024-25,IND,112
2024-25,MIL,96
2024-25,PHX,119
2024-25,TOR,115
2024-25,CHI,119
2024-25,LAC,108
2024-25,DET,127
2024-25,DAL,101
2024-25,BOS,118
2024-25,MEM,132
2024-25,CLE,144
2024-25,MIL,119
2024-25,PHI,110
2024-25,WAS,105
2024-25,OKC,144
2024-25,PHX,108
2024-25,MIN,103
2024-25,CHA,104
2024-25,UTA,113
2024-25,ATL,127
2024-25,POR,127
2024-25,IND,132
2024-25,NYK,112
2024-25,LAL,128
2024-25,ORL,99
2024-25,HOU,98
2024-25,SAC,110
2024-25,MIA,105
2024-25,SAS,103
2024-25,DEN,107
2024-25,BKN,110
2024-25,CHA,104
2024-25,DEN,137
2024-25,MIL,118
2024-25,SAS,144
2024-25,NOP,116
2024-25,TOR,106
2024-25,BOS,118
2024-25,PHI,134
2024-25,DET,117
2024-25,GSW,105
2024-25,PHX,130
2024-25,CHI,122
2024-25,DAL,102
2024-25,LAC,112
2024-25,HOU,119
2024-25,MIN,138
2024-25,MEM,120
2024-25,WAS,96
2024-25,POR,119
2024-25,ORL,90
2024-25,UTA,113
2024-25,ATL,115
2024-25,LAL,134
2024-25,CLE,137
2024-25,NYK,122
2024-25,DET,119
2024-25,MIN,121
2024-25,GSW,116
2024-25,IND,133
2024-25,WAS,82
2024-25,SAS,116
2024-25,CLE,126
2024-25,DAL,137
2024-25,OKC,109
2024-25,PHI,117
2024-25,CHI,100
2024-25,PHX,113
2024-25,CHA,83
2024-25,BOS,122
2024-25,SAC,104
2024-25,NOP,136
2024-25,LAC,128
2024-25,MIA,106
2024-25,BKN,104
2024-25,TOR,106
2024-25,DEN,112
2024-25,PHI,118
2024-25,POR,125
2024-25,GSW,114
2024-25,HOU,100
2024-25,MIL,112
2024-25,UTA,103
2024-25,ATL,96
2024-25,LAL,104
2024-25,MIN,100
2024-25,ATL,92
2024-25,NOP,104
2024-25,DEN,121
2024-25,CLE,110
2024-25,CHA,107
2024-25,SAC,110
2024-25,PHX,111
2024-25,MIL,125
2024-25,MIA,125
2024-25,DET,91
2024-25,TOR,113
2024-25,BKN,96
2024-25,LAC,109
2024-25,CHI,129
2024-25,WAS,108
2024-25,ORL,119
2024-25,NYK,143
2024-25,UTA,110
2024-25,HOU,114
2024-25,LAL,112
2024-25,DAL,130
2024-25,MEM,106
2024-25,BOS,112
2024-25,OKC,118
2024-25,POR,108
2024-25,BOS,122
2024-25,MIL,117
2024-25,PHX,119
2024-25,SAS,98
2024-25,IND,136
2024-25,LAL,118
2024-25,DET,113
2024-25,ATL,94
2024-25,CHI,97
2024-25,NOP,92
2024-25,ORL,121
2024-25,MIN,133
2024-25,SAC,120
2024-25,MIA,106
2024-25,NYK,143
2024-25,GSW,108
2024-25,BKN,97
2024-25,CHA,123
2024-25,PHI,109
2024-25,DAL,107
2024-25,HOU,135
2024-25,DEN,104
2024-25,LAC,127
2024-25,TOR,117
2024-25,UTA,103
2024-25,WAS,109
2024-25,MEM,125
2024-25,CLE,131
2024-25,CHA,97
2024-25,NOP,126
2024-25,MEM,139
2024-25,PHI,132
2024-25,POR,102
2024-25,CLE,129
2024-25,IND,110
2024-25,LAL,117
2024-25,MIL,125
2024-25,BOS,96
2024-25,SAC,123
2024-25,GSW,131
2024-25,DAL,121
2024-25,POR,101
2024-25,WAS,93
2024-25,DEN,132
2024-25,LAC,110
2024-25,MIA,96
2024-25,CHI,106
2024-25,OKC,115
2024-25,ATL,119
2024-25,ORL,79
2024-25,SAS,140
2024-25,TOR,122
2024-25,DAL,114
2024-25,UTA,114
2024-25,BOS,117
2024-25,LAC,113
2024-25,MIN,115
2024-25,ATL,104
2024-25,GSW,117
2024-25,CHA,120
2024-25,OKC,123
2024-25,HOU,109
2024-25,CLE,108
2024-25,SAC,123
2024-25,DET,114
2024-25,MEM,132
2024-25,PHX,108
2024-25,BKN,84
2024-25,POR,116
2024-25,MIA,107
2024-25,DEN,144
2024-25,PHI,109
2024-25,LAL,111
2024-25,BKN,95
2024-25,ORL,93
2024-25,WAS,88
2024-25,TOR,109
2024-25,NYK,99
2024-25,NOP,123
2024-25,DET,107
2024-25,MIN,106
2024-25,LAC,99
2024-25,ATL,110
2024-25,CHI,112
2024-25,DAL,105
2024-25,NYK,119
2024-25,HOU,96
2024-25,BOS,125
2024-25,PHX,92
2024-25,CHA,110
2024-25,UTA,119
2024-25,CLE,118
2024-25,GSW,85
2024-25,MEM,108
2024-25,DEN,113
2024-25,WAS,100
2024-25,BKN,101
2024-25,OKC,127
2024-25,SAC,123
2024-25,LAC,116
2024-25,ORL,100
2024-25,LAL,102
2024-25,CHI,102
2024-25,SAS,107
2024-25,PHI,109
2024-25,MIA,128
2024-25,POR,113
2024-25,MIL,123
2024-25,POR,103
2024-25,PHI,102
2024-25,MIN,117
2024-25,GSW,122
2024-25,HOU,125
2024-25,ATL,119
2024-25,CLE,124
2024-25,WAS,114
2024-25,IND,115
2024-25,BOS,115
2024-25,DET,121
2024-25,PHX,125
2024-25,UTA,123
2024-25,NYK,99
2024-25,DEN,133
2024-25,MIL,130
2024-25,MIA,113
2024-25,BKN,101
2024-25,DAL,106
2024-25,MIN,116
2024-25,TOR,112
2024-25,ORL,94
2024-25,LAL,102
2024-25,MEM,140
2024-25,CHA,125
2024-25,CHI,123
2024-25,SAS,112
2024-25,NOP,136
2024-25,BOS,121
2024-25,OKC,98
2024-25,IND,111
2024-25,CLE,114
2024-25,LAC,118
2024-25,WAS,123
2024-25,SAC,132
2024-25,OKC,134
2024-25,POR,89
2024-25,PHX,130
2024-25,DET,100
2024-25,HOU,127
2024-25,GSW,116
2024-25,ATL,110
2024-25,MIA,108
2024-25,TOR,110
2024-25,MIL,122
2024-25,CHA,117
2024-25,MIN,115
2024-25,CHI,94
